TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Help me,B.I,5N1hJiGqAmn6P7zGgWAu28,https://i.scdn.co/image/ab67616d0000b27335266efc198961d810a66bec,https://open.spotify.com/track/5N1hJiGqAmn6P7zGgWAu28,https://p.scdn.co/mp3-preview/069a077bdaf97cfb75922c5ea319f627d1c1f16c?cid=4598e66debe040afa4e5e77d7f33ee1d,0.572,0.484,0.158
Lean On Me,Yerin Baek,43IxBx4zsgELpVdMIAkkF0,https://i.scdn.co/image/ab67616d0000b27343b42c92a829861badd82d63,https://open.spotify.com/track/43IxBx4zsgELpVdMIAkkF0,https://p.scdn.co/mp3-preview/22b5d7713890328319d6c6383bcb2fa071dfbad7?cid=4598e66debe040afa4e5e77d7f33ee1d,0.421,0.694,0.313
I don't know,deulrejang,2tjh87mXDZJJIKLOpqH97T,https://i.scdn.co/image/ab67616d0000b2731a5795caaebd046a8ebd2b72,https://open.spotify.com/track/2tjh87mXDZJJIKLOpqH97T,https://p.scdn.co/mp3-preview/55ef3304dc47254c6766f4e163702b0703046518?cid=4598e66debe040afa4e5e77d7f33ee1d,0.195,0.389,0.239
Together,Noel,3dQxjLOKLUUpZOwHYYdvyo,https://i.scdn.co/image/ab67616d0000b2731c3424cc6ce7a8a80fa3e4f9,https://open.spotify.com/track/3dQxjLOKLUUpZOwHYYdvyo,https://p.scdn.co/mp3-preview/3721b7e17cca49c75a2045680eb19b252952f972?cid=4598e66debe040afa4e5e77d7f33ee1d,0.429,0.496,0.233
Wake Up (feat. DEAN),"Crush, DEAN",6ttHs2fIX0XM2qkEMGhLkA,https://i.scdn.co/image/ab67616d0000b273e9c8d5727ac3023f475d9a24,https://open.spotify.com/track/6ttHs2fIX0XM2qkEMGhLkA,https://p.scdn.co/mp3-preview/9eea4d0e1e78a19fec8eee82a526abb61f732332?cid=4598e66debe040afa4e5e77d7f33ee1d,0.264,0.388,0.283
Dear Diary,YERI,2qgA8fMwtftAhDzkd6mhgD,https://i.scdn.co/image/ab67616d0000b2737168197f477be0fb6637c7c8,https://open.spotify.com/track/2qgA8fMwtftAhDzkd6mhgD,https://p.scdn.co/mp3-preview/3ef94003db966b5796e69f9a47f126bb75ceff57?cid=4598e66debe040afa4e5e77d7f33ee1d,0.707,0.592,0.407
Way Back Home,BTOB,2YeozkaCbAYWOdjMKahrjU,https://i.scdn.co/image/ab67616d0000b273a0f85f45051b9cf2790ce175,https://open.spotify.com/track/2YeozkaCbAYWOdjMKahrjU,https://p.scdn.co/mp3-preview/720b821a86178743d33a7a70565d0dce906347cb?cid=4598e66debe040afa4e5e77d7f33ee1d,0.743,0.623,0.44
Still with you,SU A,4qL1uZDOmVW5sgXi1IAOic,https://i.scdn.co/image/ab67616d0000b273bb5f3c02d92592f61df9c07f,https://open.spotify.com/track/4qL1uZDOmVW5sgXi1IAOic,https://p.scdn.co/mp3-preview/6b5452c9d4b8dbc70aac4b442fbf24f6e676fdf4?cid=4598e66debe040afa4e5e77d7f33ee1d,0.417,0.501,0.332
BREATHE,LeeHi,6G4z9WbxyEeWdEQTfShACT,https://i.scdn.co/image/ab67616d0000b273298c56a4f6053a44b9bf968e,https://open.spotify.com/track/6G4z9WbxyEeWdEQTfShACT,https://p.scdn.co/mp3-preview/deca9a879bf9daf196dd770e1d9fc4ed8ca1992f?cid=4598e66debe040afa4e5e77d7f33ee1d,0.251,0.616,0.356
Give You My Heart,IU,6dGsBRuavumBs5BghcXF3D,https://i.scdn.co/image/ab67616d0000b273f71c919ad0b87d2726b14778,https://open.spotify.com/track/6dGsBRuavumBs5BghcXF3D,https://p.scdn.co/mp3-preview/cdfc2d4a58d48a5c845f4c45e00909d747232657?cid=4598e66debe040afa4e5e77d7f33ee1d,0.43,0.344,0.385
